!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 42 29 53.8467  083 47 30.2455  !
LINE !
GP 42 02 37.8157  084 03 21.6224  !
GP 42 01 42.4524  084 07 11.4691  !
LINE !
GP 42 25 17.3405  083 59 01.4114  !
GP 42 24 55.8108  083 59 15.7308  !
GP 42 22 26.8102  084 00 18.3048  !
LINE !
GP 42 19 32.3908  084 01 16.6893  !
GP 42 17 33.3240  084 01 45.5592  !
GP 42 16 34.3299  084 01 49.8284  !
LINE !
GP 42 13 34.5449  084 01 59.4139  !
GP 42 10 34.8853  084 01 43.2089  !
LINE !
GP 42 08 22.9654  084 01 15.1189  !
GP 42 05 43.8982  084 00 32.3622  !
LINE !
GP 42 05 10.7313  083 55 37.1204  !
GP 42 06 13.0752  083 53 49.7544  !
LINE !
GP 42 08 49.8484  083 49 22.7658  !
GP 42 07 34.1824  083 51 31.7091  !
LINE !
GP 41 58 38.4471  083 26 26.3441  !
GP 41 58 54.9120  083 28 02.7588  !
GP 41 59 36.0427  083 30 14.1063  !
LINE !
GP 41 56 19.3272  083 22 04.8874  !
GP 41 58 13.7604  083 22 28.0380  !
LINE !
GP 41 58 21.3667  083 19 43.7971  !
GP 41 58 36.5449  083 16 55.6917  !
LINE !
GP 41 59 28.1053  083 14 04.6648  !
GP 42 00 25.4160  083 11 32.9532  !
GP 42 00 57.3083  083 10 35.8165  !
LINE !
GP 41 57 18.7599  082 59 36.0820  !
GP 41 55 51.0782  082 57 21.1045  !
LINE !
GP 41 59 53.4929  083 03 34.6917  !
GP 41 58 29.4294  083 01 24.9823  !
LINE !
GP 41 57 04.3296  082 51 17.6504  !
GP 41 59 42.2520  082 48 56.8152  !
GP 42 00 44.1969  082 48 21.1800  !
LINE !
GP 42 03 29.6621  082 46 45.8883  !
GP 42 04 07.5468  082 46 24.0492  !
GP 42 06 22.5130  082 45 40.3477  !
LINE !
GP 42 09 18.3046  082 44 50.4152  !
GP 42 12 18.0763  082 44 36.6203  !
LINE !
GP 42 14 39.4988  082 44 39.4743  !
GP 42 17 28.9340  082 45 05.5916  !
LINE !
GP 42 19 43.9594  082 45 45.9504  !
GP 42 20 52.0990  082 46 14.2827  !
LINE !
GP 42 33 11.8273  082 50 40.2150  !
GP 42 31 09.3274  082 49 20.1567  !
LINE !
GP 42 28 56.1203  082 47 53.6588  !
GP 42 27 01.7833  082 46 39.3638  !
LINE !
GP 42 37 02.8533  082 53 11.2126  !
GP 42 36 24.0012  082 52 45.9984  !
GP 42 34 53.4288  082 51 46.6884  !
LINE !
GP 42 37 36.8339  083 20 51.8092  !
GP 42 35 02.1703  083 22 47.9834  !
LINE !
GP 42 33 55.4844  083 23 38.6066  !
GP 42 31 40.9569  083 25 23.2508  !
LINE !
GP 41 50 43.0080  083 37 48.2443  !
GP 41 53 34.4940  083 36 34.7130  !
LINE !
GP 41 56 25.9655  083 35 21.0728  !
GP 41 58 45.8970  083 34 20.8921  !
LINE !
GP 41 42 53.0518  083 59 59.6657  !
GP 41 43 41.3965  083 59 12.1732  !
LINE !
GP 41 44 29.7357  083 58 24.6609  !
